Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
16.04.2023;17.04.2023;260.632,00;167.118,75
17.04.2023;18.04.2023;304.817,25;189.285,00
18.04.2023;19.04.2023;309.881,75;144.409,25
19.04.2023;20.04.2023;313.931,25;46.289,50
20.04.2023;21.04.2023;315.156,00;128.651,50
21.04.2023;22.04.2023;302.428,50;39.961,25
22.04.2023;23.04.2023;259.706,75;48.135,50
23.04.2023;24.04.2023;249.384,25;125.256,50
24.04.2023;25.04.2023;299.200,50;92.017,25
25.04.2023;26.04.2023;312.198,00;80.735,50
26.04.2023;27.04.2023;310.451,50;90.575,25
27.04.2023;28.04.2023;297.512,00;169.130,75
28.04.2023;29.04.2023;296.556,25;202.398,25
29.04.2023;30.04.2023;257.344,25;150.154,75
30.04.2023;01.05.2023;240.355,75;103.403,25
01.05.2023;02.05.2023;245.289,00;127.972,25
02.05.2023;03.05.2023;296.159,25;152.774,00
03.05.2023;04.05.2023;290.284,00;173.040,50
04.05.2023;05.05.2023;288.269,00;177.760,25
05.05.2023;06.05.2023;297.844,25;72.901,25
06.05.2023;07.05.2023;257.177,00;102.094,50
07.05.2023;08.05.2023;247.449,50;84.091,50
08.05.2023;09.05.2023;292.760,25;55.754,25
09.05.2023;10.05.2023;298.943,00;-123,00
10.05.2023;11.05.2023;302.917,25;85.004,50
11.05.2023;12.05.2023;295.633,75;155.370,50
12.05.2023;13.05.2023;292.283,00;91.701,50
13.05.2023;14.05.2023;253.238,75;82.250,25
14.05.2023;15.05.2023;239.741,00;107.359,50
15.05.2023;16.05.2023;278.316,75;179.660,25
16.05.2023;17.05.2023;296.236,25;105.013,25
17.05.2023;18.05.2023;292.232,25;81.260,50
18.05.2023;19.05.2023;240.265,25;133.131,50
19.05.2023;20.05.2023;284.198,50;157.041,50
20.05.2023;21.05.2023;252.332,25;70.545,75
21.05.2023;22.05.2023;236.057,00;42.926,25
22.05.2023;23.05.2023;278.339,50;83.963,00
23.05.2023;24.05.2023;288.796,75;132.080,25
24.05.2023;25.05.2023;289.320,00;176.185,50
25.05.2023;26.05.2023;282.756,00;133.881,00
26.05.2023;27.05.2023;278.605,25;99.127,75
27.05.2023;28.05.2023;236.416,00;126.546,50
28.05.2023;29.05.2023;181.406,75;58.993,75
29.05.2023;30.05.2023;228.745,25;91.254,50
30.05.2023;31.05.2023;275.991,00;147.754,25
31.05.2023;01.06.2023;272.434,25;128.143,50
01.06.2023;02.06.2023;279.635,25;91.077,00
02.06.2023;03.06.2023;280.141,25;121.870,25
03.06.2023;04.06.2023;237.484,25;95.101,00
04.06.2023;05.06.2023;224.789,75;97.706,00
05.06.2023;06.06.2023;266.343,25;142.408,25
06.06.2023;07.06.2023;276.766,50;190.150,50
07.06.2023;08.06.2023;275.105,50;182.226,75
08.06.2023;09.06.2023;274.960,25;164.432,00
09.06.2023;10.06.2023;305.749,00;134.725,00
10.06.2023;11.06.2023;277.926,75;52.886,00
11.06.2023;12.06.2023;272.174,25;52.698,50
12.06.2023;13.06.2023;307.230,50;108.089,75
13.06.2023;14.06.2023;315.471,25;136.947,00
14.06.2023;15.06.2023;314.722,25;161.049,00
