Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2017;01.01.2018;102.972.151,00;61.358.534,75;501.811,25
01.01.2018;01.01.2019;106.966.250,25;62.358.929,00;4.297.917,75
01.01.2019;01.01.2020;100.614.542,00;50.202.759,00;4.065.153,75
01.01.2020;01.01.2021;103.140.447,25;51.445.157,75;5.152.288,75
01.01.2021;01.01.2022;108.553.842,75;60.660.068,25;4.013.216,00
01.01.2022;01.01.2023;103.639.730,00;50.318.334,00;4.093.665,25
