GENESIS-Tabelle: 43531-01-02-4-B
Energieverbrauch - Jahressumme - regionale Ebenen;;;;;;;;;;
Jahreserhebung ü. die Energieverwendung der Betriebe im Verarbeitendem Gewerbe;;;;;;;;;;
;;;Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.)
;;;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger
;;;insgesamt;Kohle;Heizöl;Erdgas;Erneuerbare Energien;Strom;Wärme;Sonstige Energieträger
;;;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ
2018;01;Schleswig-Holstein;84792153;1840900;.;47898820;3120944;14327302;1634317;.
2018;02;Hamburg;69760168;.;.;27070845;25474;18564504;2600477;19825303
2018;03;Niedersachsen;408814216;.;2584202;139874328;8030446;90623996;12561807;.
2018;04;Bremen;90095005;.;170927;12618019;.;8626224;.;.
2018;05;Nordrhein-Westfalen;1316181731;280380040;59429519;290542371;21845387;242008407;73412780;348563226
2018;06;Hessen;128438901;5919867;1482058;52357605;4953098;39859481;19260963;4605830
2018;07;Rheinland-Pfalz;307554468;2993055;1801344;150183576;5192056;53636792;8573937;85173707
2018;08;Baden-Württemberg;289283163;8922598;7731725;87773655;22197733;100196315;14821158;47639980
2018;09;Bayern;418436309;15657868;7518132;149135229;.;129023152;21260351;.
2018;10;Saarland;137357322;.;328121;12901346;.;15916094;.;.
2018;11;Berlin;12500860;.;364880;4630997;.;6014471;1084099;16056
2018;12;Brandenburg;196464217;.;1857175;33414730;17332113;31342293;12853477;.
2018;13;Mecklenburg-Vorpommern;23256679;619884;467706;8274563;4576503;6722252;2480856;114916
2018;14;Sachsen;159994926;3739931;1475506;44559112;5413672;40673365;5258132;58875207
2018;15;Sachsen-Anhalt;272605527;29497283;.;104449407;18077098;39525282;25509172;.
2018;16;Thüringen;65402628;2883217;961800;21951904;11490563;21590642;3321943;3202559
2017;01;Schleswig-Holstein;76994530;1729074;3517611;45060006;716324;14133005;1661721;10176789
2017;02;Hamburg;73025399;.;.;27271250;30071;19516228;2329109;.
2017;03;Niedersachsen;385125861;.;2288413;139284106;6223558;91248771;11824603;.
2017;04;Bremen;86573968;.;184186;12759882;.;8606046;1021696;.
2017;05;Nordrhein-Westfalen;1422248243;374015214;65685848;296192189;16922821;246368901;59699126;363364145
2017;06;Hessen;129416637;6059572;1743416;52409975;3373466;39957714;19748503;6123991
2017;07;Rheinland-Pfalz;326635636;3376120;1950923;152936877;4500833;55162956;8397124;100310803
2017;08;Baden-Württemberg;293385506;9424145;7903955;89956402;17219630;99910250;14183371;54787753
2017;09;Bayern;412178772;16417286;7819100;161551513;.;126837860;14223677;.
2017;10;Saarland;143343904;76514860;364737;12241745;1441451;16492192;1002453;35286466
2017;11;Berlin;12253776;.;.;4615008;.;5833737;1034551;3183
2017;12;Brandenburg;199139433;.;1399749;34037540;12868943;33100385;14995525;.
2017;13;Mecklenburg-Vorpommern;22604353;646246;434765;7771535;4673228;6525922;2464046;88611
2017;14;Sachsen;161195321;3730119;1735634;44375849;6236160;41032441;5590129;58494988
2017;15;Sachsen-Anhalt;264603372;30246437;.;97088619;19611858;39258092;24796121;.
2017;16;Thüringen;67207526;3434673;1019859;22632810;12208246;21664147;3288216;2959574
__________
"zu ""gesamter Tabelle"":
2016: Durch nachträgliche Korrekturen, welche nicht in das
Bundesergebnis eingeflossen sind, ergibt die Summe der Län-
derergebnisse nicht den Wert für Deutschland.
Baden-Württemberg (Berichtsjahr 1995-2010): Gebietsstand
01.01.1979
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Saarland (ab 2012): ohne Wirtschaftsabschnitt B.
 
zu ""Wärme"":
Sachsen (ab 2011): einschließlich Prozessdampf
(fremdbezogen)
 
zu ""Sonstige Energieträger"":
Sachsen (ab 2012): einschließlich nichtenergetische
Verwendung von Mineralölprodukten
 
Maßgebend für die Zuordnung ab 2003 - 2007 ist die
""Klassifikation der Wirtschaftszweige, Ausgabe 2003(WZ
2003)"",und zwar die Abschnitte C und D.
Maßgebend für die Zuordnung ab 2008 ist die ""Klassifikation
der Wirtschaftszweige, Ausgabe 2008 (WZ 2008)"", und zwar die
Abschnitte B und C."
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2024.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 30.11.2024 / 12:57:00
