Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2017;01.01.2018;62.699.902,25;55.380.894,00;4.107.069,50
01.01.2018;01.01.2019;63.323.402,25;55.367.826,25;4.247.837,25
01.01.2019;01.01.2020;62.134.824,00;53.434.805,25;3.764.520,75
01.01.2020;01.01.2021;59.457.592,25;50.094.569,00;3.765.904,75
01.01.2021;01.01.2022;61.240.957,00;52.221.195,50;3.408.618,25
01.01.2022;01.01.2023;59.663.727,75;49.172.805,88;4.355.774,63
